,year,date,team,q1,q2,q3,q4,final
0,1976,1976 NFC Divisional Playoff Game,Washington(10-4),3,0,3,14,20
1,1976,1976 NFC Divisional Playoff Game,Minnesota(11-2-1),14,7,14,0,35
2,1976,Sun 9/12,Washington(10-4),3,0,3,14,20
3,1976,Sun 9/12,Minnesota(11-2-1),14,7,14,0,35
4,1976,Sun 9/19,Washington(10-4),3,0,3,14,20
5,1976,Sun 9/19,Minnesota(11-2-1),14,7,14,0,35
6,1976,Mon 9/27,Washington(10-4),3,0,3,14,20
7,1976,Mon 9/27,Minnesota(11-2-1),14,7,14,0,35
8,1976,Sun 10/3,Washington(10-4),3,0,3,14,20
9,1976,Sun 10/3,Minnesota(11-2-1),14,7,14,0,35
10,1976,Sun 10/10,Washington(10-4),3,0,3,14,20
11,1976,Sun 10/10,Minnesota(11-2-1),14,7,14,0,35
12,1976,Sun 10/17,Washington(10-4),3,0,3,14,20
13,1976,Sun 10/17,Minnesota(11-2-1),14,7,14,0,35
14,1976,Mon 10/25,Washington(10-4),3,0,3,14,20
15,1976,Mon 10/25,Minnesota(11-2-1),14,7,14,0,35
16,1976,Sun 10/31,Washington(10-4),3,0,3,14,20
17,1976,Sun 10/31,Minnesota(11-2-1),14,7,14,0,35
18,1976,Sun 11/7,Washington(10-4),3,0,3,14,20
19,1976,Sun 11/7,Minnesota(11-2-1),14,7,14,0,35
20,1976,Sun 11/14,Washington(10-4),3,0,3,14,20
21,1976,Sun 11/14,Minnesota(11-2-1),14,7,14,0,35
22,1976,Sun 11/21,Washington(10-4),3,0,3,14,20
23,1976,Sun 11/21,Minnesota(11-2-1),14,7,14,0,35
24,1976,Sun 11/28,Washington(10-4),3,0,3,14,20
25,1976,Sun 11/28,Minnesota(11-2-1),14,7,14,0,35
26,1976,Sun 12/5,Washington(10-4),3,0,3,14,20
27,1976,Sun 12/5,Minnesota(11-2-1),14,7,14,0,35
28,1976,Sun 12/12,Washington(10-4),3,0,3,14,20
29,1976,Sun 12/12,Minnesota(11-2-1),14,7,14,0,35
30,1976,"Saturday, July 31, 1976",Washington(10-4),3,0,3,14,20
31,1976,"Saturday, July 31, 1976",Minnesota(11-2-1),14,7,14,0,35
32,1976,"Friday, August 6, 1976",Washington(10-4),3,0,3,14,20
33,1976,"Friday, August 6, 1976",Minnesota(11-2-1),14,7,14,0,35
34,1976,"Saturday, August 14, 1976",Washington(10-4),3,0,3,14,20
35,1976,"Saturday, August 14, 1976",Minnesota(11-2-1),14,7,14,0,35
36,1976,"Saturday, August 21, 1976",Washington(10-4),3,0,3,14,20
37,1976,"Saturday, August 21, 1976",Minnesota(11-2-1),14,7,14,0,35
38,1976,"Saturday, August 28, 1976",Washington(10-4),3,0,3,14,20
39,1976,"Saturday, August 28, 1976",Minnesota(11-2-1),14,7,14,0,35
40,1976,"Friday, September 3, 1976",Washington(10-4),3,0,3,14,20
41,1976,"Friday, September 3, 1976",Minnesota(11-2-1),14,7,14,0,35
