,year,date,team,final
0,1977,Sun 9/18,Washington(0-1),17
1,1977,Sun 9/18,NY Giants(1-0),20
2,1977,Sun 9/25,Atlanta(1-1),6
3,1977,Sun 9/25,Washington(1-1),10
4,1977,Sun 10/2,St. Louis(1-2),14
5,1977,Sun 10/2,Washington(2-1),24
6,1977,Sun 10/9,Washington(3-1),10
7,1977,Sun 10/9,Tampa Bay(0-4),0
8,1977,Sun 10/16,Washington(3-2),16
9,1977,Sun 10/16,Dallas(5-0),34
10,1977,Sun 10/23,NY Giants(3-3),17
11,1977,Sun 10/23,Washington(3-3),6
12,1977,Sun 10/30,Philadelphia(2-5),17
13,1977,Sun 10/30,Washington(4-3),23
14,1977,Mon 11/7,Washington(4-4),3
15,1977,Mon 11/7,Baltimore(7-1),10
16,1977,Sun 11/13,Washington(5-4),17
17,1977,Sun 11/13,Philadelphia(3-6),14
18,1977,Mon 11/21,Green Bay(2-8),9
19,1977,Mon 11/21,Washington(6-4),10
20,1977,Sun 11/27,Dallas(9-2),14
21,1977,Sun 11/27,Washington(6-5),7
22,1977,Sun 12/4,Washington(7-5),10
23,1977,Sun 12/4,Buffalo(2-10),0
24,1977,Sat 12/10,Washington(8-5),26
25,1977,Sat 12/10,St. Louis(7-6),20
26,1977,Sat 12/17,Los Angeles(10-4),14
27,1977,Sat 12/17,Washington(9-5),17
28,1977,"Monday, August 8, 1977",Washington(1-0),16
29,1977,"Monday, August 8, 1977",Cleveland(0-1),14
30,1977,"Saturday, August 13, 1977",Washington(1-1),15
31,1977,"Saturday, August 13, 1977",Miami(2-0),27
32,1977,"Thursday, August 18, 1977",Kansas City(1-2),7
33,1977,"Thursday, August 18, 1977",Washington(2-1),13
34,1977,"Saturday, August 27, 1977",Washington(3-1),13
35,1977,"Saturday, August 27, 1977",Green Bay(1-3),9
36,1977,"Sunday, September 4, 1977",Washington(3-2),7
37,1977,"Sunday, September 4, 1977",New England(4-1),45
38,1977,"Friday, September 9, 1977",NY Jets(3-4),7
39,1977,"Friday, September 9, 1977",Washington(4-2),14
